team_h,team_a,team_a_difficulty,team_h_difficulty,season
15,12,5,2,21_22
18,4,2,2,21_22
13,16,3,3,21_22
17,20,3,3,21_22
6,1,4,4,21_22
9,19,3,2,21_22
1,12,5,4,21_22
3,2,2,2,21_22
8,4,2,2,21_22
16,14,3,2,21_22
9,15,2,2,21_22
7,19,3,2,21_22
6,11,5,4,21_22
10,5,2,2,21_22
18,17,4,2,21_22
13,20,3,3,21_22
17,7,2,3,21_22
15,1,4,2,21_22
4,3,2,2,21_22
12,9,3,5,21_22
14,13,4,2,21_22
19,16,3,3,21_22
20,18,2,3,21_22
2,6,4,2,21_22
11,10,2,4,21_22
5,8,2,2,21_22
10,14,3,2,21_22
3,20,3,2,21_22
1,5,2,4,21_22
7,11,5,2,21_22
16,12,5,2,21_22
18,15,2,2,21_22
8,2,2,2,21_22
9,4,2,2,21_22
13,19,3,3,21_22
6,17,4,4,21_22
12,6,4,5,21_22
2,13,4,2,21_22
15,8,2,2,21_22
19,10,2,3,21_22
5,9,3,2,21_22
14,18,2,2,21_22
11,3,2,4,21_22
20,16,3,3,21_22
17,1,4,3,21_22
4,7,2,2,21_22
8,13,4,2,21_22
15,5,2,2,21_22
16,6,4,2,21_22
18,10,2,2,21_22
14,20,3,2,21_22
1,4,2,4,21_22
9,7,2,2,21_22
2,17,4,2,21_22
3,19,3,2,21_22
12,11,5,5,21_22
11,18,2,4,21_22
20,2,2,3,21_22
13,9,3,3,21_22
5,12,5,2,21_22
4,15,2,2,21_22
10,16,3,2,21_22
6,3,2,4,21_22
19,8,2,3,21_22
17,14,3,3,21_22
7,1,4,2,21_22
2,1,4,2,21_22
15,6,4,2,21_22
14,7,2,2,21_22
18,8,2,2,21_22
20,10,2,3,21_22
5,16,3,2,21_22
12,4,2,5,21_22
9,3,2,2,21_22
17,19,3,3,21_22
11,13,4,4,21_22
1,9,3,4,21_22
3,5,2,2,21_22
4,11,5,2,21_22
7,12,5,2,21_22
6,14,3,4,21_22
16,18,2,2,21_22
13,17,4,3,21_22
10,15,2,2,21_22
19,2,2,3,21_22
8,20,3,2,21_22
2,16,3,2,21_22
12,13,4,5,21_22
15,3,2,2,21_22
5,6,4,2,21_22
20,7,2,3,21_22
14,4,2,2,21_22
18,1,4,2,21_22
17,8,2,3,21_22
9,10,2,2,21_22
11,19,3,4,21_22
6,9,3,4,21_22
4,2,2,2,21_22
7,5,2,2,21_22
3,14,3,2,21_22
16,15,2,2,21_22
13,18,2,3,21_22
19,20,3,3,21_22
1,11,5,4,21_22
8,12,5,2,21_22
10,17,4,2,21_22
14,1,4,2,21_22
2,7,2,2,21_22
16,11,5,2,21_22
20,15,2,3,21_22
10,4,2,2,21_22
8,3,2,2,21_22
18,9,3,2,21_22
19,12,5,3,21_22
13,6,4,3,21_22
15,14,3,2,21_22
7,10,2,2,21_22
9,16,3,2,21_22
6,18,2,4,21_22
4,19,3,2,21_22
5,20,3,2,21_22
12,2,2,5,21_22
11,8,2,4,21_22
3,17,4,2,21_22
1,13,4,4,21_22
6,19,3,4,21_22
5,14,3,2,21_22
4,16,3,2,21_22
11,20,3,4,21_22
12,18,2,5,21_22
3,10,2,2,21_22
7,13,4,2,21_22
15,17,4,2,21_22
9,2,2,2,21_22
1,8,2,4,21_22
18,3,2,2,21_22
20,12,5,3,21_22
16,1,4,2,21_22
10,6,4,2,21_22
2,11,5,2,21_22
13,15,2,3,21_22
19,5,2,3,21_22
14,9,3,2,21_22
8,7,2,2,21_22
2,15,2,2,21_22
10,12,5,2,21_22
20,4,2,3,21_22
16,7,2,2,21_22
19,1,4,3,21_22
8,6,4,2,21_22
14,11,5,2,21_22
1,10,2,4,21_22
12,14,3,5,21_22
6,20,3,4,21_22
11,17,4,4,21_22
9,12,5,2,21_22
1,15,2,4,21_22
7,17,4,2,21_22
16,19,3,2,21_22
6,2,2,4,21_22
3,4,2,2,21_22
13,14,3,3,21_22
15,7,2,2,21_22
17,16,3,3,21_22
19,18,2,3,21_22
11,9,3,4,21_22
4,6,4,2,21_22
12,3,2,5,21_22
5,13,4,2,21_22
12,1,4,5,21_22
17,18,2,3,21_22
19,7,2,3,21_22
2,3,2,2,21_22
4,8,2,2,21_22
5,10,2,2,21_22
11,6,4,4,21_22
20,13,4,3,21_22
3,16,3,2,21_22
15,19,3,2,21_22
7,4,2,2,21_22
6,12,5,4,21_22
18,14,3,2,21_22
8,15,2,2,21_22
16,20,3,2,21_22
13,2,2,3,21_22
3,11,5,2,21_22
10,19,3,2,21_22
6,4,2,4,21_22
17,9,3,3,21_22
13,3,2,3,21_22
15,18,2,2,21_22
2,8,2,2,21_22
20,3,2,3,21_22
14,10,2,2,21_22
19,13,4,3,21_22
12,16,3,5,21_22
5,1,4,2,21_22
11,7,2,4,21_22
4,9,3,2,21_22
17,6,4,3,21_22
18,5,2,2,21_22
8,14,3,2,21_22
18,19,3,2,21_22
13,5,2,3,21_22
3,12,5,2,21_22
7,15,2,2,21_22
16,17,4,2,21_22
10,2,2,2,21_22
9,11,5,2,21_22
1,20,3,4,21_22
16,13,4,2,21_22
7,3,2,2,21_22
10,8,2,2,21_22
4,18,2,2,21_22
12,15,2,5,21_22
11,5,2,4,21_22
2,14,3,2,21_22
20,17,4,3,21_22
19,9,3,3,21_22
4,13,4,2,21_22
14,19,3,2,21_22
3,1,4,2,21_22
18,2,2,2,21_22
5,4,2,2,21_22
6,7,2,4,21_22
15,11,5,2,21_22
8,16,3,2,21_22
17,12,5,3,21_22
13,10,2,3,21_22
9,20,3,2,21_22
17,5,2,3,21_22
7,18,2,2,21_22
10,11,5,2,21_22
20,1,4,3,21_22
15,16,3,2,21_22
17,10,2,3,21_22
14,3,2,2,21_22
5,7,2,2,21_22
18,13,4,2,21_22
2,4,2,2,21_22
12,8,2,5,21_22
20,19,3,3,21_22
9,5,2,2,21_22
10,9,3,2,21_22
16,2,2,2,21_22
6,5,2,4,21_22
4,14,3,2,21_22
3,15,2,2,21_22
7,20,3,2,21_22
19,11,5,3,21_22
1,18,2,4,21_22
13,12,5,3,21_22
8,17,4,2,21_22
6,15,2,4,21_22
14,16,3,2,21_22
18,20,3,2,21_22
2,10,2,2,21_22
11,4,2,4,21_22
5,3,2,2,21_22
17,13,4,3,21_22
14,6,4,2,21_22
20,8,2,3,21_22
15,10,2,2,21_22
18,16,3,2,21_22
2,19,3,2,21_22
9,1,4,2,21_22
12,7,2,5,21_22
17,4,2,3,21_22
11,1,4,4,21_22
14,8,2,2,21_22
10,20,3,2,21_22
1,2,2,4,21_22
3,9,3,2,21_22
19,17,4,3,21_22
18,11,5,2,21_22
15,4,2,2,21_22
12,5,2,5,21_22
3,6,4,2,21_22
16,10,2,2,21_22
2,20,3,2,21_22
9,13,4,2,21_22
8,19,3,2,21_22
14,17,4,2,21_22
1,7,2,4,21_22
8,5,2,2,21_22
20,14,3,3,21_22
13,8,2,3,21_22
4,1,4,2,21_22
6,16,3,4,21_22
10,18,2,2,21_22
17,2,2,3,21_22
19,3,2,3,21_22
7,9,3,2,21_22
5,15,2,2,21_22
11,12,5,4,21_22
4,17,4,2,21_22
15,13,4,2,21_22
1,16,3,4,21_22
3,18,2,2,21_22
9,14,3,2,21_22
5,19,3,2,21_22
13,11,5,3,21_22
1,6,4,4,21_22
9,8,2,2,21_22
7,14,3,2,21_22
4,12,5,2,21_22
16,5,2,2,21_22
13,1,4,3,21_22
2,9,3,2,21_22
18,12,5,2,21_22
14,15,2,2,21_22
17,3,2,3,21_22
16,4,2,2,21_22
20,5,2,3,21_22
19,6,4,3,21_22
8,11,5,2,21_22
10,7,2,2,21_22
6,13,4,4,21_22
11,14,3,4,21_22
15,2,2,2,21_22
7,16,3,2,21_22
5,18,2,2,21_22
4,20,3,2,21_22
12,10,2,5,21_22
6,8,2,4,21_22
9,17,4,2,21_22
1,19,3,4,21_22
3,13,4,2,21_22
16,3,2,2,21_22
2,5,2,2,21_22
20,6,4,3,21_22
18,7,2,2,21_22
13,4,2,3,21_22
17,11,5,3,21_22
10,1,4,2,21_22
8,9,3,2,21_22
19,15,2,3,21_22
14,12,5,2,21_22
11,2,2,4,21_22
6,10,2,4,21_22
15,9,3,2,21_22
8,18,2,2,21_22
12,20,3,5,21_22
1,17,4,4,21_22
5,17,4,2,21_22
7,2,2,2,21_22
4,10,2,2,21_22
9,18,2,2,21_22
12,19,3,5,21_22
15,20,3,2,21_22
3,8,2,2,21_22
1,14,3,4,21_22
11,16,3,4,21_22
7,8,2,2,21_22
5,2,2,2,21_22
9,6,4,2,21_22
8,1,4,2,21_22
10,3,2,2,21_22
19,4,2,3,21_22
14,5,2,2,21_22
18,6,4,2,21_22
13,7,2,3,21_22
16,9,3,2,21_22
20,11,5,3,21_22
2,12,5,2,21_22
17,15,2,3,21_22
1,7,2,4,22_23
12,9,2,4,22_23
2,3,2,2,22_23
20,11,2,2,22_23
16,15,4,2,22_23
17,18,4,2,22_23
6,8,2,3,22_23
4,10,3,3,22_23
5,14,4,3,22_23
13,19,3,5,22_23
8,2,2,2,22_23
10,1,4,3,22_23
15,5,3,3,22_23
3,13,5,2,22_23
11,17,2,2,22_23
9,20,2,2,22_23
14,4,3,3,22_23
19,16,2,2,22_23
18,6,4,3,22_23
7,12,4,2,22_23
20,18,4,2,22_23
2,7,2,2,22_23
16,8,2,2,22_23
4,9,2,3,22_23
17,10,3,2,22_23
1,3,2,4,22_23
6,11,2,3,22_23
5,19,3,3,22_23
13,15,4,5,22_23
12,14,4,4,22_23
14,17,2,3,22_23
8,4,3,2,22_23
11,5,3,2,22_23
10,6,4,3,22_23
3,12,4,2,22_23
7,13,5,2,22_23
9,1,4,2,22_23
19,2,2,2,22_23
15,20,2,3,22_23
18,16,2,3,22_23
4,7,2,3,22_23
5,9,2,3,22_23
6,17,2,3,22_23
8,11,2,2,22_23
2,1,4,2,22_23
20,3,2,2,22_23
16,13,5,2,22_23
18,19,3,3,22_23
15,12,4,3,22_23
14,10,3,3,22_23
12,8,2,4,22_23
11,4,3,2,22_23
19,6,4,2,22_23
7,15,4,2,22_23
3,16,2,2,22_23
9,18,4,2,22_23
17,20,2,2,22_23
13,2,2,5,22_23
10,5,3,3,22_23
1,14,4,4,22_23
17,2,2,2,22_23
9,16,2,2,22_23
13,20,2,5,22_23
3,15,4,2,22_23
10,18,4,3,22_23
1,4,3,4,22_23
19,8,2,2,22_23
18,1,4,3,22_23
4,3,2,3,22_23
6,7,2,3,22_23
15,9,2,3,22_23
5,12,4,3,22_23
8,17,2,2,22_23
20,19,3,2,22_23
14,13,5,3,22_23
2,11,2,2,22_23
16,10,3,2,22_23
10,3,2,3,22_23
20,6,4,2,22_23
17,13,5,2,22_23
4,15,4,3,22_23
18,5,3,3,22_23
11,7,2,2,22_23
9,19,3,2,22_23
12,1,4,4,22_23
14,8,2,3,22_23
2,16,2,2,22_23
5,4,3,3,22_23
7,10,3,2,22_23
3,9,2,2,22_23
16,20,2,2,22_23
8,18,4,2,22_23
6,2,2,3,22_23
1,11,2,4,22_23
15,14,4,3,22_23
19,17,2,2,22_23
13,12,4,5,22_23
16,5,3,2,22_23
20,7,2,2,22_23
17,3,2,2,22_23
6,4,3,3,22_23
19,12,4,2,22_23
8,15,4,2,22_23
18,14,4,3,22_23
2,9,2,2,22_23
11,10,3,2,22_23
12,16,2,4,22_23
7,8,2,2,22_23
5,13,5,3,22_23
14,6,4,3,22_23
4,2,2,3,22_23
9,11,2,2,22_23
1,17,2,4,22_23
10,20,2,3,22_23
15,18,4,3,22_23
3,19,3,2,22_23
13,10,3,5,22_23
18,3,2,3,22_23
20,4,3,2,22_23
6,5,3,3,22_23
17,7,2,2,22_23
2,15,4,2,22_23
8,9,2,2,22_23
11,12,4,2,22_23
16,1,4,2,22_23
19,14,4,2,22_23
3,11,2,2,22_23
9,13,5,2,22_23
4,16,2,3,22_23
5,20,2,3,22_23
10,8,2,3,22_23
1,6,4,4,22_23
14,2,2,3,22_23
15,17,2,3,22_23
7,19,3,2,22_23
12,18,4,4,22_23
4,13,5,3,22_23
8,3,2,2,22_23
17,12,4,2,22_23
7,16,2,2,22_23
11,18,4,2,22_23
10,19,3,3,22_23
6,15,4,3,22_23
1,20,2,4,22_23
2,5,3,2,22_23
14,9,2,3,22_23
18,4,3,3,22_23
9,7,2,2,22_23
20,8,2,2,22_23
15,10,3,3,22_23
5,17,2,3,22_23
12,2,2,4,22_23
19,1,4,2,22_23
3,6,4,2,22_23
16,14,4,2,22_23
13,11,2,5,22_23
4,19,3,3,22_23
10,12,4,3,22_23
14,20,2,3,22_23
7,3,2,2,22_23
17,9,2,2,22_23
8,13,5,2,22_23
11,15,4,2,22_23
1,5,3,4,22_23
2,18,4,2,22_23
6,16,2,3,22_23
12,4,3,4,22_23
15,1,4,3,22_23
5,8,2,3,22_23
9,10,3,2,22_23
3,14,4,2,22_23
16,17,2,2,22_23
19,11,2,2,22_23
20,2,2,2,22_23
18,7,2,3,22_23
13,6,4,5,22_23
6,9,2,3,22_23
11,2,2,2,22_23
13,14,4,5,22_23
12,5,3,4,22_23
17,8,2,2,22_23
10,16,2,3,22_23
19,20,2,2,22_23
3,4,3,2,22_23
7,6,4,2,22_23
9,15,4,2,22_23
1,18,4,4,22_23
14,7,2,3,22_23
18,13,5,3,22_23
6,12,4,3,22_23
16,3,2,2,22_23
5,10,3,3,22_23
2,17,2,2,22_23
8,19,3,2,22_23
15,7,2,3,22_23
4,11,2,3,22_23
20,13,5,2,22_23
14,1,4,3,22_23
18,9,2,3,22_23
9,6,4,2,22_23
1,8,2,4,22_23
10,2,2,3,22_23
17,4,3,2,22_23
3,5,3,2,22_23
7,14,4,2,22_23
12,20,2,4,22_23
19,15,4,2,22_23
11,16,2,2,22_23
13,18,4,5,22_23
11,14,4,2,22_23
6,19,3,3,22_23
4,1,4,3,22_23
5,7,2,3,22_23
16,9,2,2,22_23
18,10,3,3,22_23
20,17,2,2,22_23
15,3,2,3,22_23
14,11,2,3,22_23
2,13,5,2,22_23
8,12,4,2,22_23
13,1,4,5,22_23
1,2,2,4,22_23
7,4,3,2,22_23
9,5,3,2,22_23
17,6,4,2,22_23
11,8,2,2,22_23
13,16,2,5,22_23
3,20,2,2,22_23
12,15,4,4,22_23
10,14,4,3,22_23
19,18,4,2,22_23
20,9,2,2,22_23
2,8,2,2,22_23
17,11,2,2,22_23
1,10,3,4,22_23
16,19,3,2,22_23
13,3,2,5,22_23
12,7,2,4,22_23
6,18,4,3,22_23
8,1,4,2,22_23
20,12,4,2,22_23
15,13,5,3,22_23
3,1,4,2,22_23
7,2,2,2,22_23
19,5,3,2,22_23
11,6,4,2,22_23
18,20,2,3,22_23
10,17,2,3,22_23
8,16,2,2,22_23
14,12,4,3,22_23
9,4,3,2,22_23
12,3,2,4,22_23
4,8,2,3,22_23
5,11,2,3,22_23
6,10,3,3,22_23
16,18,4,2,22_23
13,7,2,5,22_23
1,9,2,4,22_23
17,14,4,2,22_23
2,19,3,2,22_23
20,15,4,2,22_23
7,5,3,2,22_23
4,17,2,3,22_23
15,16,2,3,22_23
3,2,2,2,22_23
10,4,3,3,22_23
18,17,2,3,22_23
11,20,2,2,22_23
8,6,4,2,22_23
7,1,4,2,22_23
12,13,5,4,22_23
11,1,4,2,22_23
9,3,2,2,22_23
4,5,3,3,22_23
10,7,2,3,22_23
20,16,2,2,22_23
2,6,4,2,22_23
17,19,3,2,22_23
14,15,4,3,22_23
18,8,2,3,22_23
5,3,2,3,22_23
16,11,2,2,22_23
2,10,3,2,22_23
12,6,4,4,22_23
4,14,4,3,22_23
15,19,3,3,22_23
8,14,4,2,22_23
16,2,2,2,22_23
15,4,3,3,22_23
19,9,2,2,22_23
3,10,3,2,22_23
5,18,4,3,22_23
6,20,2,3,22_23
13,17,2,5,22_23
7,11,2,2,22_23
1,12,4,4,22_23
15,2,2,3,22_23
5,6,4,3,22_23
9,8,2,2,22_23
7,17,2,2,22_23
4,20,2,3,22_23
3,18,4,2,22_23
10,13,5,3,22_23
1,19,3,4,22_23
14,16,2,3,22_23
12,11,2,4,22_23
17,1,4,2,22_23
11,9,2,2,22_23
2,4,3,2,22_23
8,7,2,2,22_23
20,10,3,2,22_23
16,12,4,2,22_23
19,3,2,2,22_23
18,15,4,3,22_23
7,20,2,2,22_23
9,2,2,2,22_23
10,11,2,3,22_23
5,16,2,3,22_23
4,6,4,3,22_23
12,19,3,4,22_23
1,13,5,4,22_23
15,8,2,3,22_23
3,17,2,2,22_23
14,18,4,3,22_23
19,7,2,2,22_23
16,4,3,2,22_23
20,5,3,2,22_23
11,3,2,2,22_23
13,9,2,5,22_23
2,14,4,2,22_23
17,15,4,2,22_23
18,12,4,3,22_23
8,10,3,2,22_23
6,1,4,3,22_23
9,12,4,2,22_23
19,13,5,2,22_23
14,5,3,3,22_23
6,3,2,3,22_23
11,13,5,2,22_23
7,18,4,2,22_23
2,20,2,2,22_23
4,12,4,3,22_23
1,15,4,4,22_23
14,19,3,3,22_23
10,9,2,3,22_23
8,5,3,2,22_23
17,16,2,2,22_23
15,11,2,3,22_23
18,2,2,3,22_23
16,6,4,2,22_23
3,7,2,2,22_23
20,14,4,2,22_23
9,17,2,2,22_23
19,4,3,2,22_23
13,8,2,5,22_23
5,1,4,3,22_23
12,10,3,4,22_23
5,15,4,3,22_23
4,18,4,3,22_23
14,3,2,3,22_23
7,9,2,2,22_23
2,12,4,2,22_23
8,20,2,2,22_23
1,16,2,4,22_23
11,19,3,2,22_23
17,5,3,2,22_23
6,13,5,3,22_23
10,15,4,3,22_23
13,5,3,5,22_23
6,14,4,3,22_23
20,1,4,2,22_23
5,2,2,3,22_23
13,4,3,5,22_23
15,6,4,3,22_23
16,7,2,2,22_23
3,8,2,2,22_23
18,11,2,3,22_23
19,10,3,2,22_23
9,14,4,2,22_23
12,17,2,4,22_23
