team_h,team_a,team_a_difficulty,team_h_difficulty,season
3,9,2,2,18_19
8,10,2,2,18_19
19,20,3,3,18_19
4,14,4,2,18_19
13,15,3,4,18_19
6,2,3,4,18_19
7,16,2,2,18_19
11,12,5,3,18_19
18,17,4,3,18_19
15,17,4,2,18_19
18,3,2,3,18_19
16,4,3,2,18_19
10,6,4,2,18_19
9,7,2,2,18_19
20,8,3,3,18_19
2,5,2,2,18_19
14,11,3,4,18_19
1,13,5,4,18_19
12,19,3,4,18_19
13,8,3,4,18_19
14,9,2,4,18_19
19,7,2,3,18_19
1,10,2,4,18_19
2,12,5,2,18_19
5,16,2,2,18_19
8,18,3,2,18_19
4,3,2,2,18_19
11,17,4,3,18_19
6,13,5,4,18_19
15,20,3,2,18_19
18,5,2,3,18_19
9,19,3,2,18_19
17,4,3,4,18_19
20,2,3,3,18_19
10,15,3,2,18_19
7,11,3,2,18_19
16,1,4,2,18_19
12,14,4,4,18_19
8,5,2,2,18_19
20,10,2,3,18_19
3,11,3,2,18_19
4,15,3,2,18_19
2,1,4,2,18_19
9,16,2,2,18_19
17,6,4,4,18_19
14,7,2,4,18_19
18,12,5,3,18_19
19,13,5,3,18_19
1,17,4,4,18_19
13,2,3,4,18_19
10,3,2,2,18_19
7,4,3,2,18_19
16,14,4,2,18_19
5,20,3,2,18_19
15,19,3,2,18_19
11,18,3,3,18_19
6,9,2,4,18_19
12,8,3,4,18_19
3,7,2,2,18_19
19,5,2,3,18_19
2,10,2,2,18_19
9,11,3,2,18_19
8,15,3,2,18_19
17,16,2,4,18_19
18,13,5,3,18_19
4,12,5,2,18_19
20,6,4,3,18_19
14,1,4,4,18_19
15,2,3,2,18_19
11,4,3,3,18_19
10,19,3,2,18_19
12,9,2,4,18_19
6,8,3,4,18_19
13,9,2,4,18_19
16,3,2,2,18_19
20,4,3,3,18_19
10,7,2,2,18_19
2,11,3,2,18_19
18,14,4,3,18_19
8,19,3,2,18_19
6,5,2,4,18_19
17,12,5,4,18_19
15,1,4,2,18_19
9,18,3,2,18_19
14,20,3,4,18_19
3,6,4,2,18_19
5,13,5,2,18_19
7,17,4,2,18_19
12,16,2,4,18_19
4,2,3,2,18_19
11,10,2,3,18_19
7,15,3,2,18_19
1,8,3,4,18_19
19,6,4,3,18_19
15,11,3,2,18_19
10,17,4,2,18_19
2,3,2,2,18_19
5,4,3,2,18_19
8,9,2,2,18_19
20,16,2,3,18_19
19,14,4,3,18_19
13,7,2,4,18_19
6,12,5,4,18_19
1,18,3,4,18_19
5,3,2,2,18_19
17,13,5,4,18_19
9,2,3,2,18_19
18,10,2,3,18_19
11,19,3,3,18_19
3,20,3,2,18_19
16,15,3,2,18_19
14,8,3,4,18_19
7,1,4,2,18_19
12,5,2,4,18_19
4,6,4,2,18_19
3,17,4,2,18_19
16,18,3,2,18_19
1,20,3,4,18_19
13,14,4,4,18_19
10,12,5,2,18_19
19,17,4,3,18_19
8,7,2,2,18_19
5,9,2,2,18_19
2,16,2,2,18_19
20,18,3,3,18_19
15,3,2,2,18_19
1,11,3,4,18_19
13,4,3,4,18_19
6,14,4,4,18_19
4,8,3,2,18_19
17,2,3,4,18_19
16,19,3,2,18_19
9,20,3,2,18_19
7,5,2,2,18_19
12,15,3,4,18_19
18,6,4,3,18_19
14,10,2,4,18_19
3,1,4,2,18_19
11,13,5,3,18_19
13,3,2,4,18_19
1,4,3,4,18_19
2,7,2,2,18_19
15,9,2,2,18_19
6,11,3,4,18_19
20,12,5,3,18_19
5,14,4,2,18_19
10,16,2,2,18_19
8,17,4,2,18_19
19,18,3,3,18_19
14,10,5,2,19_20
11,19,2,4,19_20
15,3,2,3,19_20
16,5,3,3,19_20
8,7,3,2,19_20
4,18,3,2,19_20
2,17,4,2,19_20
20,9,3,4,19_20
1,13,2,3,19_20
6,12,4,4,19_20
5,1,4,3,19_20
3,2,2,2,19_20
19,4,2,2,19_20
18,8,4,2,19_20
13,14,2,2,19_20
10,16,2,4,19_20
17,11,4,3,19_20
7,15,3,3,19_20
9,6,4,3,19_20
12,20,3,4,19_20
8,2,2,2,19_20
6,14,2,4,19_20
16,4,2,3,19_20
7,12,4,3,19_20
9,15,3,3,19_20
19,18,3,2,19_20
1,10,5,3,19_20
11,3,2,4,19_20
13,17,4,2,19_20
5,20,3,3,19_20
12,16,2,4,19_20
15,6,4,3,19_20
2,7,3,2,19_20
3,9,3,2,19_20
4,11,4,2,19_20
18,13,2,2,19_20
14,19,2,2,19_20
10,5,3,4,19_20
20,8,4,4,19_20
17,1,4,3,19_20
13,10,5,2,19_20
5,4,2,3,19_20
9,12,4,3,19_20
16,15,3,3,19_20
7,17,4,3,19_20
6,20,3,4,19_20
11,14,2,4,19_20
8,3,2,2,19_20
1,18,3,3,19_20
19,2,2,2,19_20
3,16,2,2,19_20
17,9,3,3,19_20
14,5,3,2,19_20
15,8,4,3,19_20
18,11,4,2,19_20
4,13,2,2,19_20
20,7,3,4,19_20
12,19,2,4,19_20
2,1,4,2,19_20
10,6,4,4,19_20
10,15,3,4,19_20
5,2,2,3,19_20
19,3,2,2,19_20
4,6,4,2,19_20
14,7,3,2,19_20
16,17,4,3,19_20
18,20,3,2,19_20
11,8,4,4,19_20
13,9,3,2,19_20
1,12,4,3,19_20
17,4,2,3,19_20
8,5,3,2,19_20
9,10,5,3,19_20
2,14,2,2,19_20
15,18,3,3,19_20
7,19,2,3,19_20
3,1,4,2,19_20
20,11,4,4,19_20
6,16,2,4,19_20
12,13,2,4,19_20
19,8,4,2,19_20
4,2,2,2,19_20
14,3,2,2,19_20
13,6,4,2,19_20
5,9,3,3,19_20
18,17,4,2,19_20
16,20,3,3,19_20
11,7,3,4,19_20
10,12,4,4,19_20
1,15,3,3,19_20
9,16,2,3,19_20
2,11,4,2,19_20
8,4,2,2,19_20
3,18,3,2,19_20
15,19,2,3,19_20
6,5,3,4,19_20
20,13,2,4,19_20
7,1,4,3,19_20
17,10,5,3,19_20
12,14,2,4,19_20
12,3,2,4,19_20
20,1,4,4,19_20
10,2,2,4,19_20
14,4,2,2,19_20
16,11,4,3,19_20
5,15,3,3,19_20
13,19,2,2,19_20
6,18,3,4,19_20
9,7,3,3,19_20
17,8,4,3,19_20
18,14,2,2,19_20
7,6,4,3,19_20
19,5,3,2,19_20
3,13,2,2,19_20
8,16,2,2,19_20
15,17,4,3,19_20
1,9,3,3,19_20
4,12,4,2,19_20
2,20,3,2,19_20
11,10,5,4,19_20
17,19,2,3,19_20
16,1,4,3,19_20
20,3,2,4,19_20
9,4,2,3,19_20
10,7,3,4,19_20
14,8,4,2,19_20
5,18,3,3,19_20
6,11,4,4,19_20
12,15,3,4,19_20
13,2,2,2,19_20
11,13,2,4,19_20
7,5,3,3,19_20
19,6,4,2,19_20
4,10,5,2,19_20
3,17,4,2,19_20
18,16,2,2,19_20
1,14,2,3,19_20
15,20,3,3,19_20
8,9,3,2,19_20
2,12,4,2,19_20
3,7,3,2,19_20
