assists,clean_sheets,creativity,bps,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,total_points,was_home,team,opponent_team,Target_Output
0.0,0.0,0.04,0.2,0.5,0.0,0.06000000000000001,0.33999999999999997,6.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,False,Sheffield Utd,Wolves,1.0
0.0,0.0,0.06999999999999999,0.3,0.5,0.0,0.06000000000000001,0.33999999999999997,8.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,True,Sheffield Utd,Brighton,0.0
0.0,0.0,0.06999999999999999,0.3,0.5,0.0,0.06000000000000001,0.33999999999999997,8.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,False,Sheffield Utd,Spurs,1.0
0.0,0.0,0.06999999999999999,0.5,0.5,0.0,0.08,0.33999999999999997,8.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.5,True,Sheffield Utd,Crystal Palace,0.0
0.0,0.0,0.06999999999999999,0.5,0.5,0.0,0.08,0.33999999999999997,8.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.5,False,Sheffield Utd,Everton,0.0
0.0,0.0,0.06999999999999999,0.5,0.5,0.0,0.08,0.33999999999999997,8.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.5,False,Sheffield Utd,Newcastle,0.0
0.0,0.0,0.06999999999999999,0.5,0.5,0.0,0.08,0.33999999999999997,8.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.5,True,Sheffield Utd,Burnley,0.0
0.2222222222222222,0.1111111111111111,14.455555555555556,8.0,1.3333333333333333,0.2222222222222222,6.611111111111111,15.466666666666665,76.55555555555556,0.0,0.1111111111111111,0.0,0.0,0.0,37.666666666666664,0.2222222222222222,3.2222222222222223,False,Fulham,Leicester,1.0
0.2,0.1,14.040000000000001,7.9,1.2,0.2,6.1,14.34,69.2,0.0,0.1,0.0,0.0,0.0,33.9,0.2,3.0,False,Fulham,Man City,0.0
0.2,0.1,14.01,7.6,1.2,0.2,6.0,14.040000000000001,66.5,0.0,0.1,0.0,0.0,0.0,33.2,0.2,2.9,True,Fulham,Liverpool,0.0
