season,position,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,input_shape,kernel_size,num_filters,conv_activation,dense_activation,learning_rate,loss,metrics,regularization,tolerance,standardize
2020-21,GK,4.767584323883057,7.139969825744629,4.322960376739502,1.3823273181915283,1.6783207654953003,1.3698540925979614,"(3, 1)",1,16,relu,relu,0.01,mse,['mae'],0.0,1e-05,True
2020-21,GK,5.776891708374023,4.7711501121521,4.216210842132568,1.6613270044326782,1.548229098320007,1.458124756813049,"(3, 1)",1,16,relu,relu,0.01,mse,['mae'],0.01,1e-05,True
2020-21,GK,5.433607578277588,5.521554470062256,3.882314920425415,1.5993528366088867,1.5978493690490725,1.3988232612609863,"(3, 1)",1,16,relu,relu,0.01,mse,['mae'],0.05,1e-05,True
2020-21,GK,4.798540115356445,6.005926609039307,5.176690578460693,1.4591702222824097,1.5789426565170288,1.5196847915649414,"(3, 4)",1,16,relu,relu,0.01,mse,['mae'],0.0,1e-05,True
2020-21,GK,5.949062347412109,4.278635501861572,4.184347152709961,1.6967617273330688,1.5437763929367063,1.5078041553497314,"(3, 4)",1,16,relu,relu,0.01,mse,['mae'],0.01,1e-05,True
2020-21,GK,4.474281311035156,6.504722595214844,5.850549221038818,1.3696657419204712,1.61313796043396,1.5453389883041382,"(3, 4)",1,16,relu,relu,0.01,mse,['mae'],0.05,1e-05,True
2020-21,GK,5.475133895874023,6.432392120361328,2.2497758865356445,1.6328760385513306,1.727524995803833,1.243457555770874,"(3, 6)",1,16,relu,relu,0.01,mse,['mae'],0.0,1e-05,True
2020-21,GK,5.80284309387207,4.403607368469238,4.2751336097717285,1.638530731201172,1.501423954963684,1.4947760105133057,"(3, 6)",1,16,relu,relu,0.01,mse,['mae'],0.01,1e-05,True
2020-21,GK,5.1298370361328125,5.690495491027832,4.612173080444336,1.5018383264541626,1.6085342168807983,1.4604061841964722,"(3, 6)",1,16,relu,relu,0.01,mse,['mae'],0.05,1e-05,True
2020-21,GK,4.649082660675049,5.509251117706299,4.567302227020264,1.4687930345535278,1.6096235513687134,1.4576337337493896,"(3, 14)",1,16,relu,relu,0.01,mse,['mae'],0.0,1e-05,True
2020-21,GK,5.838356018066406,4.148067474365234,4.484828472137451,1.6639906167984009,1.4560539722442627,1.5401785373687744,"(3, 14)",1,16,relu,relu,0.01,mse,['mae'],0.01,1e-05,True
2020-21,GK,5.823483467102051,5.525235176086426,2.524498224258423,1.68345046043396,1.661397099494934,1.3162500858306885,"(3, 14)",1,16,relu,relu,0.01,mse,['mae'],0.05,1e-05,True
2020-21,GK,8.486624717712402,12.00692367553711,9.598139762878418,2.160658836364746,2.4614267349243164,2.3195083141326904,"(3, 1)",1,16,relu,relu,0.01,mse,['mae'],0.0,1e-05,True
