season,position,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,verbose,kernel_size,num_filters,conv_activation,dense_activation,learning_rate,loss,metrics,regularization,standardize
2020-21,GK,4.762842178344727,7.136578559875488,4.318228244781494,1.3783481121063232,1.6751054525375366,1.366118311882019,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.762588977813721,4.763597011566162,4.223191738128662,1.6671109199523926,1.5545430183410645,1.4676835536956787,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.414521217346191,5.501075267791748,3.8817262649536133,1.6017636060714722,1.6006261110305786,1.4037171602249146,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,4.790975093841553,6.0111541748046875,5.177109718322754,1.456537127494812,1.5781583786010742,1.5183228254318237,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,8.930941581726074,11.214092254638672,8.579963684082031,2.26582407951355,2.566678762435913,2.084733486175537,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,8.624470710754395,10.582600593566895,9.073530197143555,2.263288736343384,2.4458742141723633,2.461947202682495,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.218806266784668,9.870226860046387,8.290555000305176,2.453723669052124,2.343078374862671,2.469660997390747,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.014483451843262,9.419804573059082,9.543047904968262,2.3675882816314697,2.465890407562256,2.486995220184326,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,4.143638610839844,5.607166290283203,9.369906425476074,1.296923041343689,1.460072636604309,1.9745913743972778,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.449858665466309,6.364574909210205,2.2249674797058105,1.6251050233840942,1.7162264585494995,1.2326661348342896,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.78149938583374,4.393126487731934,4.266993045806885,1.6328126192092896,1.4973576068878174,1.492079496383667,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.090387344360352,5.619907379150391,4.550917148590088,1.4941492080688477,1.5974608659744263,1.4478185176849365,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,8.771839141845703,8.699525833129883,11.254470825195312,2.4903953075408936,2.4710710048675537,2.590818405151367,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.917646408081055,7.855320930480957,9.040079116821289,2.551624059677124,2.354997158050537,2.509010076522827,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.324871063232422,8.627337455749512,10.0438814163208,2.509855031967163,2.52258038520813,2.645197629928589,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.467299461364746,9.031586647033691,8.717105865478516,2.481004238128662,2.4320006370544434,2.559589385986328,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.927042484283447,4.350287437438965,4.892879962921143,1.7264864444732666,1.5535162687301636,1.6444239616394043,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.8527140617370605,5.504751682281494,2.6019818782806396,1.6856385469436646,1.6535098552703857,1.3208670616149902,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,4.758973121643066,6.855314254760742,5.665283679962158,1.3971091508865356,1.6167747974395752,1.5282008647918701,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.564871311187744,4.296813488006592,6.152365684509277,1.6550542116165161,1.5322033166885376,1.7383899688720703,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.711935997009277,9.08690071105957,8.962969779968262,2.5718438625335693,2.6429176330566406,2.5681004524230957,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.462156295776367,8.400128364562988,10.2719144821167,2.553055763244629,2.4003684520721436,2.6258862018585205,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.278483390808105,8.805489540100098,10.00495433807373,2.383578062057495,2.4601850509643555,2.6715288162231445,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,8.559850692749023,10.658052444458008,10.973150253295898,2.272808074951172,2.564298629760742,2.323542356491089,True,1,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,4.6276397705078125,4.887234687805176,7.768748760223389,1.354913353919983,1.3762043714523315,1.7977982759475708,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.045028209686279,4.776483058929443,8.190387725830078,1.4946396350860596,1.4514778852462769,1.8229892253875732,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.195068359375,4.257358551025391,6.951229572296143,1.5297791957855225,1.394028663635254,1.7374544143676758,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.138197898864746,5.589674949645996,4.634449481964111,1.5713105201721191,1.6291253566741943,1.5055577754974365,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,8.690982818603516,8.554216384887695,12.799714088439941,2.280640125274658,2.303927421569824,2.722273349761963,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.127480506896973,10.331198692321777,8.692892074584961,2.510424852371216,2.731682062149048,2.6709814071655273,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,8.658007621765137,9.278379440307617,11.360336303710938,2.3978655338287354,2.465803384780884,2.5295231342315674,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.31214714050293,9.036273956298828,9.848137855529785,2.5178985595703125,2.3413689136505127,2.606264591217041,True,2,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.038440227508545,5.597084999084473,5.384722709655762,1.562968134880066,1.5874327421188354,1.5573261976242065,True,3,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,6.001806259155273,4.421566963195801,3.4856364727020264,1.6844791173934937,1.4927488565444946,1.3555148839950562,True,3,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.177143096923828,6.8374714851379395,3.420485734939575,1.5214298963546753,1.703903079032898,1.3126634359359741,True,3,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,5.698310852050781,5.708008289337158,3.3228776454925537,1.6501420736312866,1.6942042112350464,1.3704625368118286,True,3,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,8.779516220092773,11.102018356323242,8.856735229492188,2.328664541244507,2.5928900241851807,2.086662769317627,True,3,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.681573867797852,9.586504936218262,7.413448810577393,2.4330124855041504,2.4657042026519775,2.25374174118042,True,3,64,relu,relu,0.01,mse,['mae'],0,True
2020-21,GK,9.695655822753906,9.184603691101074,8.334729194641113,2.460322141647339,2.5584347248077393,2.2813222408294678,True,3,64,relu,relu,0.01,mse,['mae'],0,True
