season,position,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,verbose,kernel_size,num_filters,conv_activation,dense_activation,optimizer,learning_rate,loss,metrics,regularization,standardize,num_features,cat_features
2020-21,GK,2.798065423965454,4.173702239990234,2.4698476791381836,0.7945792078971863,1.0762306451797485,0.7931774854660034,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,['total_points'],[]
2020-21,GK,3.330524206161499,2.8444442749023438,2.3957056999206543,0.9510020613670349,0.8041369318962097,0.6372944712638855,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists']",[]
2020-21,GK,2.7499091625213623,3.8275513648986816,2.8146605491638184,0.7887625694274902,0.9574342370033264,0.781882107257843,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists', 'goals_conceded', 'yellow_cards']",[]
2020-21,GK,1.9369182586669922,4.026345252990723,4.420413494110107,0.5756471753120422,0.9132367968559265,1.0403238534927368,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['minutes', 'goals_scored', 'assists', 'goals_conceded', 'clean_sheets', 'bps', 'yellow_cards', 'red_cards', 'own_goals', 'saves', 'penalties_missed', 'penalties_saved', 'ict_index', 'total_points']",[]
2020-21,GK,7.845539093017578,10.901273727416992,8.56598949432373,2.0410749912261963,2.527015209197998,2.293097734451294,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,['total_points'],[]
2020-21,GK,7.555985927581787,10.520532608032227,9.100281715393066,2.051070213317871,2.563978433609009,2.3946280479431152,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists']",[]
2020-21,GK,7.287789821624756,11.524832725524902,8.626496315002441,1.9840805530548096,2.649712085723877,2.2212483882904053,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists', 'goals_conceded', 'yellow_cards']",[]
2020-21,GK,5.403522968292236,11.115887641906738,10.97482967376709,1.6233388185501099,2.5059897899627686,2.5396316051483154,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['minutes', 'goals_scored', 'assists', 'goals_conceded', 'clean_sheets', 'bps', 'yellow_cards', 'red_cards', 'own_goals', 'saves', 'penalties_missed', 'penalties_saved', 'ict_index', 'total_points']",[]
2020-21,GK,2.3624353408813477,3.2626309394836426,5.833129405975342,0.5963348150253296,0.7996913194656372,1.3772330284118652,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,['total_points'],[]
2020-21,GK,3.1672420501708984,3.8140389919281006,1.4702179431915283,0.8398767113685608,0.9226822853088379,0.3973708152770996,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists']",[]
2020-21,GK,2.8837087154388428,3.0604777336120605,3.1051015853881836,0.7577663064002991,0.7944778800010681,0.755252480506897,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists', 'goals_conceded', 'yellow_cards']",[]
2020-21,GK,2.109038829803467,4.468755722045898,4.248720645904541,0.5411993265151978,0.9322121739387512,0.8221383690834045,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['minutes', 'goals_scored', 'assists', 'goals_conceded', 'clean_sheets', 'bps', 'yellow_cards', 'red_cards', 'own_goals', 'saves', 'penalties_missed', 'penalties_saved', 'ict_index', 'total_points']",[]
2020-21,GK,7.7459716796875,8.260276794433594,12.474306106567383,2.157930374145508,2.254227876663208,2.706772804260254,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,['total_points'],[]
2020-21,GK,9.127389907836914,7.206051349639893,8.4557466506958,2.385550022125244,2.160318374633789,2.3181495666503906,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists']",[]
2020-21,GK,7.530437469482422,8.818304061889648,11.385497093200684,2.081984758377075,2.1257572174072266,2.6710000038146973,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists', 'goals_conceded', 'yellow_cards']",[]
2020-21,GK,4.600251197814941,12.328695297241211,9.09738540649414,1.4021838903427124,2.6170830726623535,2.199227809906006,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['minutes', 'goals_scored', 'assists', 'goals_conceded', 'clean_sheets', 'bps', 'yellow_cards', 'red_cards', 'own_goals', 'saves', 'penalties_missed', 'penalties_saved', 'ict_index', 'total_points']",[]
2020-21,GK,3.408266544342041,2.7506661415100098,3.2984907627105713,1.0866674184799194,0.8563490509986877,1.0542993545532227,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,['total_points'],[]
2020-21,GK,3.224933624267578,3.6223394870758057,1.397841453552246,0.915618360042572,0.9531444311141968,0.362722247838974,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists']",[]
2020-21,GK,1.9685280323028564,4.8986945152282715,4.017459392547607,0.6398494839668274,1.0537296533584595,0.9763481616973877,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists', 'goals_conceded', 'yellow_cards']",[]
2020-21,GK,1.5057293176651,4.513960838317871,5.73781156539917,0.5068056583404541,0.9937593340873718,1.1708883047103882,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['minutes', 'goals_scored', 'assists', 'goals_conceded', 'clean_sheets', 'bps', 'yellow_cards', 'red_cards', 'own_goals', 'saves', 'penalties_missed', 'penalties_saved', 'ict_index', 'total_points']",[]
2020-21,GK,8.46701431274414,7.960638046264648,10.141812324523926,2.3198156356811523,2.249237298965454,2.68936824798584,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,['total_points'],[]
2020-21,GK,6.967834949493408,10.823185920715332,12.110356330871582,1.931221604347229,2.6281399726867676,2.6335458755493164,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists']",[]
2020-21,GK,4.205504417419434,13.681182861328125,11.57715129852295,1.3322179317474365,2.8005006313323975,2.343947649002075,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists', 'goals_conceded', 'yellow_cards']",[]
2020-21,GK,1.9975385665893555,19.280298233032227,16.51020622253418,0.5922585129737854,3.249988317489624,2.90907883644104,False,1,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['minutes', 'goals_scored', 'assists', 'goals_conceded', 'clean_sheets', 'bps', 'yellow_cards', 'red_cards', 'own_goals', 'saves', 'penalties_missed', 'penalties_saved', 'ict_index', 'total_points']",[]
2020-21,GK,2.687021493911743,2.9463424682617188,5.273128986358643,0.7704288959503174,0.8154681921005249,1.5075889825820923,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,['total_points'],[]
2020-21,GK,2.8531510829925537,2.6065673828125,4.502761363983154,0.8654247522354126,0.742375910282135,1.1164731979370117,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists']",[]
2020-21,GK,1.8119555711746216,3.9143378734588623,6.403698444366455,0.47785934805870056,0.8370516300201416,1.2735000848770142,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists', 'goals_conceded', 'yellow_cards']",[]
2020-21,GK,1.2051796913146973,5.546303749084473,4.889651298522949,0.3429315686225891,1.0269323587417603,0.9901891946792603,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['minutes', 'goals_scored', 'assists', 'goals_conceded', 'clean_sheets', 'bps', 'yellow_cards', 'red_cards', 'own_goals', 'saves', 'penalties_missed', 'penalties_saved', 'ict_index', 'total_points']",[]
2020-21,GK,7.249487400054932,9.339984893798828,12.198698043823242,1.9930641651153564,2.2326290607452393,2.673412799835205,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,['total_points'],[]
2020-21,GK,6.89843225479126,11.14421272277832,9.115655899047852,1.9717251062393188,2.654430389404297,2.2076940536499023,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists']",[]
2020-21,GK,3.668372631072998,13.559085845947266,16.49292755126953,1.1672924757003784,2.809584379196167,3.050597667694092,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists', 'goals_conceded', 'yellow_cards']",[]
2020-21,GK,2.0326521396636963,15.5435209274292,13.249800682067871,0.5597735047340393,3.1228291988372803,2.541977643966675,False,2,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['minutes', 'goals_scored', 'assists', 'goals_conceded', 'clean_sheets', 'bps', 'yellow_cards', 'red_cards', 'own_goals', 'saves', 'penalties_missed', 'penalties_saved', 'ict_index', 'total_points']",[]
2020-21,GK,2.771019697189331,3.9893548488616943,3.1499409675598145,0.8894097805023193,1.0731875896453857,0.9406312108039856,False,3,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,['total_points'],[]
2020-21,GK,3.2830042839050293,2.786259412765503,2.6074273586273193,0.8493847250938416,0.6697255969047546,0.5899336338043213,False,3,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists']",[]
2020-21,GK,1.9172710180282593,5.451749324798584,2.5717856884002686,0.6360577940940857,1.2158616781234741,0.6878165006637573,False,3,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['total_points', 'minutes', 'goals_scored', 'assists', 'goals_conceded', 'yellow_cards']",[]
2020-21,GK,1.2915736436843872,5.906887054443359,3.220512628555298,0.32687532901763916,1.1340358257293701,0.5197209119796753,False,3,64,relu,relu,adam,0.01,mse,['mae'],0.001,True,"['minutes', 'goals_scored', 'assists', 'goals_conceded', 'clean_sheets', 'bps', 'yellow_cards', 'red_cards', 'own_goals', 'saves', 'penalties_missed', 'penalties_saved', 'ict_index', 'total_points']",[]
