season,position,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,verbose,window_size,kernel_size,num_filters,num_dense,conv_activation,dense_activation,drop_low_playtime,low_playtime_cutoff,optimizer,learning_rate,loss,metrics,regularization,early_stopping,tolerance,patience,standardize,amt_num_features
"['2020-21', '2021-22']",GK,3.311753511428833,1.7265034914016724,2.6055655479431152,0.8847749829292297,0.5136550068855286,0.6880282759666443,False,3,1,64,64,relu,relu,False,15,adam,0.001,mse,['mae'],0.01,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,7.396210670471191,8.052674293518066,6.756857872009277,1.883458137512207,2.1593778133392334,1.7007564306259155,False,3,1,64,64,relu,relu,True,15,adam,0.001,mse,['mae'],0.01,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,3.3794736862182617,1.8465240001678467,2.2687461376190186,0.942261815071106,0.5264902710914612,0.7055524587631226,False,3,2,64,64,relu,relu,False,15,adam,0.001,mse,['mae'],0.01,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,7.113020896911621,7.429632186889648,7.50093936920166,2.0187039375305176,2.0594351291656494,2.1771225929260254,False,3,2,64,64,relu,relu,True,15,adam,0.001,mse,['mae'],0.01,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,2.5631916522979736,3.8698930740356445,2.0112650394439697,0.7718487977981567,1.0997079610824585,0.704216718673706,False,6,1,64,64,relu,relu,False,15,adam,0.001,mse,['mae'],0.01,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.947617053985596,8.317781448364258,6.8291425704956055,2.0127406120300293,2.085390329360962,2.0623035430908203,False,6,1,64,64,relu,relu,True,15,adam,0.001,mse,['mae'],0.01,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,1.8975610733032227,4.67695426940918,3.276810646057129,0.5848653316497803,1.2107741832733154,0.8630391955375671,False,6,2,64,64,relu,relu,False,15,adam,0.001,mse,['mae'],0.01,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.981006622314453,8.163134574890137,7.0883941650390625,1.956629991531372,2.2645680904388428,2.041064739227295,False,6,2,64,64,relu,relu,True,15,adam,0.001,mse,['mae'],0.01,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,2.759197235107422,2.926546573638916,2.6778085231781006,0.8130127787590027,0.8298316597938538,0.8293611407279968,False,6,3,64,64,relu,relu,False,15,adam,0.001,mse,['mae'],0.01,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,7.415639400482178,7.724168300628662,6.08045768737793,2.0770649909973145,2.137925386428833,1.8007354736328125,False,6,3,64,64,relu,relu,True,15,adam,0.001,mse,['mae'],0.01,True,0.0001,20,True,ptsonly
