season,position,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,verbose,window_size,kernel_size,num_filters,num_dense,conv_activation,dense_activation,drop_low_playtime,low_playtime_cutoff,optimizer,learning_rate,loss,metrics,regularization,early_stopping,tolerance,patience,standardize
"['2020-21', '2021-22']",GK,7.795918941497803,6.058452606201172,7.626960277557373,2.1210999488830566,1.8815984725952148,2.065861940383911,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.261360168457031,8.745132446289062,7.917313575744629,1.8056325912475586,2.2090680599212646,1.9793776273727417,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.4040846824646,7.423116207122803,6.7245588302612305,2.1304523944854736,2.0361411571502686,2.0106804370880127,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.956762790679932,6.987991809844971,8.3326416015625,2.0074520111083984,1.9242970943450928,2.009053945541382,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.286710262298584,6.4718852043151855,8.747910499572754,2.076986789703369,1.8136334419250488,2.2269275188446045,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.048776626586914,7.317934513092041,8.171676635742188,2.0947046279907227,2.0766985416412354,2.16432785987854,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.343636512756348,8.457499504089355,9.020890235900879,1.714111328125,2.072420597076416,2.1147773265838623,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.720638275146484,6.924675464630127,9.085488319396973,2.031240940093994,1.9382045269012451,2.3490569591522217,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.022463321685791,8.21483039855957,6.989992618560791,1.937345266342163,2.2499167919158936,2.0651798248291016,False,3,1,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.106207847595215,7.3233723640441895,7.018610954284668,1.9527994394302368,2.111769437789917,1.905585527420044,False,3,1,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.009045124053955,7.211201190948486,7.9717206954956055,2.0701072216033936,2.047901153564453,2.1337084770202637,False,3,1,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.776813983917236,5.5824503898620605,7.75015115737915,2.1288464069366455,1.7220748662948608,2.0719692707061768,False,3,1,128,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.521956443786621,6.323105812072754,8.392509460449219,2.204288959503174,1.9717100858688354,2.283818483352661,False,3,1,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.552791118621826,6.604755878448486,7.135347843170166,2.042985200881958,1.9118444919586182,2.079307794570923,False,3,1,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.721417427062988,7.740054607391357,8.436283111572266,1.9803608655929565,2.0394113063812256,2.2359044551849365,False,3,1,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.736488342285156,8.11382007598877,7.849989414215088,1.9380238056182861,2.2505314350128174,2.141730785369873,False,3,1,128,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.39017391204834,7.859088897705078,6.147978782653809,2.120229482650757,2.123847007751465,1.7527767419815063,False,3,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.111040115356445,6.884715557098389,7.288898944854736,1.9925775527954102,1.8713706731796265,2.0330770015716553,False,3,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.8870954513549805,8.13422679901123,7.6108808517456055,1.8520632982254028,2.0479233264923096,2.041496515274048,False,3,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,6.44398307800293,8.664823532104492,7.513850212097168,1.96103835105896,2.218101739883423,2.1442861557006836,False,3,2,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
"['2020-21', '2021-22']",GK,7.089461803436279,7.8763322830200195,7.550742149353027,1.8735008239746094,2.073347568511963,1.958197832107544,False,3,2,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True
