season,position,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,verbose,window_size,kernel_size,num_filters,num_dense,conv_activation,dense_activation,drop_low_playtime,low_playtime_cutoff,optimizer,learning_rate,loss,metrics,regularization,early_stopping,tolerance,patience,standardize,amt_num_features
"['2020-21', '2021-22']",GK,3.285983085632324,1.7012048959732056,2.6018741130828857,0.9357146620750427,0.5657990574836731,0.7519822716712952,False,3,1,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,2.655496597290039,2.3228676319122314,4.010406970977783,0.7117094993591309,0.672774076461792,1.0064350366592407,False,3,1,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,small
"['2020-21', '2021-22']",GK,3.0415918827056885,1.7557666301727295,3.464463472366333,0.837407648563385,0.5109072923660278,0.8967080116271973,False,3,1,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,medium
"['2020-21', '2021-22']",GK,2.6984548568725586,3.5270001888275146,3.1508677005767822,0.6499289274215698,0.8507011532783508,0.7416788339614868,False,3,1,64,64,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,large
"['2020-21', '2021-22']",GK,6.949633598327637,7.6093902587890625,8.221487998962402,2.053499937057495,2.0463833808898926,2.1927037239074707,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,7.358489036560059,7.087141513824463,6.576531410217285,2.0423338413238525,1.8979308605194092,1.9314888715744019,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,small
"['2020-21', '2021-22']",GK,6.841207504272461,6.728165626525879,9.203279495239258,2.0115060806274414,1.9651994705200195,2.412837266921997,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,medium
"['2020-21', '2021-22']",GK,7.073099136352539,7.92917013168335,8.436050415039062,2.142042636871338,2.2747628688812256,2.318692445755005,False,3,1,64,64,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,large
"['2020-21', '2021-22']",GK,2.3900349140167236,3.49949312210083,2.8509035110473633,0.6814610362052917,1.0029704570770264,0.8615762591362,False,3,1,64,128,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,2.4958934783935547,3.2147834300994873,2.8993895053863525,0.6782611012458801,0.9275115132331848,0.7620818614959717,False,3,1,64,128,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,small
"['2020-21', '2021-22']",GK,2.7613043785095215,2.539299726486206,2.947918176651001,0.8099370002746582,0.7028738856315613,0.8380218744277954,False,3,1,64,128,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,medium
"['2020-21', '2021-22']",GK,2.6181294918060303,3.1894428730010986,2.944948196411133,0.7950878143310547,0.9140941500663757,0.8338220715522766,False,3,1,64,128,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,large
"['2020-21', '2021-22']",GK,6.929721832275391,7.943058967590332,7.435831069946289,1.9847474098205566,2.091702699661255,1.9919344186782837,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.425053596496582,8.420965194702148,7.5213141441345215,1.7857744693756104,2.179647445678711,2.119631290435791,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,small
"['2020-21', '2021-22']",GK,6.812669277191162,8.728348731994629,6.578121185302734,1.9551573991775513,2.214426279067993,1.8728455305099487,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,medium
"['2020-21', '2021-22']",GK,6.7301483154296875,7.421144962310791,7.993080139160156,1.9131319522857666,1.9418665170669556,2.1708531379699707,False,3,1,64,128,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,large
"['2020-21', '2021-22']",GK,2.4248621463775635,3.404691696166992,3.4126527309417725,0.7283805012702942,0.9645313620567322,0.9927564859390259,False,3,1,64,256,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,2.5208542346954346,2.5655677318573,4.070620536804199,0.7596006989479065,0.7773613929748535,1.068742036819458,False,3,1,64,256,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,small
"['2020-21', '2021-22']",GK,2.808521032333374,3.242534875869751,1.8632255792617798,0.7556738257408142,0.8989368677139282,0.5163483619689941,False,3,1,64,256,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,medium
"['2020-21', '2021-22']",GK,3.0963287353515625,2.0476505756378174,2.5431487560272217,0.8352594971656799,0.5218775272369385,0.6990131735801697,False,3,1,64,256,relu,relu,False,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,large
"['2020-21', '2021-22']",GK,7.6655707359313965,7.471832275390625,5.729458332061768,2.1688668727874756,2.116326332092285,1.7374355792999268,False,3,1,64,256,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,ptsonly
"['2020-21', '2021-22']",GK,6.669723033905029,9.237597465515137,5.827206611633301,1.8900766372680664,2.255964517593384,1.7342469692230225,False,3,1,64,256,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,small
"['2020-21', '2021-22']",GK,6.802309989929199,7.927555561065674,7.254462718963623,2.03633713722229,2.2532763481140137,2.0760514736175537,False,3,1,64,256,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,medium
"['2020-21', '2021-22']",GK,7.22268009185791,6.563469409942627,9.209715843200684,1.8617126941680908,1.6183812618255615,2.1455166339874268,False,3,1,64,256,relu,relu,True,15,adam,0.01,mse,['mae'],0.001,True,0.0001,20,True,large
