assists,clean_sheets,creativity,bps,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,total_points,kickoff_time,was_home,name,Target_Output,difficulty_gap
0.0,0.0,4.314285714285714,0.4285714285714285,0.2857142857142857,0.0,0.7285714285714286,1.6857142857142855,10.714285714285714,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.1428571428571428,0.1428571428571428,2021-12-01T19:30:00Z,True,Moussa Djenepo,0.0,-1
0.0,0.0,4.271428571428571,0.2857142857142857,0.0,0.0,0.7000000000000001,1.5142857142857142,8.285714285714286,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.1428571428571428,2021-12-04T15:00:00Z,True,Moussa Djenepo,0.0,-1
0.0,0.0,1.5,0.0,0.0,0.0,0.2714285714285714,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.1428571428571428,2021-12-26T15:00:00Z,False,Moussa Djenepo,0.0,1
0.0,0.0,1.5,0.0,0.0,0.0,0.2714285714285714,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.1428571428571428,2021-12-28T15:00:00Z,True,Moussa Djenepo,0.0,0
0.0,0.0,1.5,0.0,0.0,0.0,0.2714285714285714,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.1428571428571428,2022-01-11T19:45:00Z,True,Moussa Djenepo,0.0,-1
0.0,0.0,1.5,0.0,0.0,0.0,0.2714285714285714,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.1428571428571428,2022-01-15T15:00:00Z,False,Moussa Djenepo,0.0,1
0.0,0.0,1.5,0.0,0.0,0.0,0.2714285714285714,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.1428571428571428,2022-01-22T17:30:00Z,True,Moussa Djenepo,0.0,2
0.0,0.0,1.5,0.0,0.0,0.0,0.2714285714285714,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.1428571428571428,2022-02-09T19:45:00Z,False,Moussa Djenepo,0.0,2
0.0,0.0,1.5,0.0,0.0,0.0,0.2714285714285714,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.1428571428571428,2022-02-12T12:30:00Z,False,Moussa Djenepo,0.0,2
0.0,0.0,0.1142857142857143,1.2857142857142858,0.0,0.0,0.0714285714285714,0.0571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.4285714285714285,2022-03-13T14:00:00Z,True,Moussa Djenepo,0.0,-1
0.0,0.0,0.1142857142857143,1.2857142857142858,0.0,0.0,0.0714285714285714,0.0571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.4285714285714285,2022-04-02T14:00:00Z,False,Moussa Djenepo,0.0,0
0.0,0.0,0.1142857142857143,1.2857142857142858,0.0,0.0,0.0714285714285714,0.0571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.4285714285714285,2022-04-09T14:00:00Z,True,Moussa Djenepo,0.0,1
0.0,0.0,0.1142857142857143,1.2857142857142858,0.0,0.0,0.0714285714285714,0.0571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.4285714285714285,2022-04-16T14:00:00Z,True,Moussa Djenepo,0.0,1
