,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,yellow_cards,was_home,opponent_team,Target_Output
6,3.0499999999999994,0.0,0.3333333333333333,14.666666666666666,0.16666666666666666,0.0,383.0,1.3333333333333333,0.0,1.4666666666666668,14.5,90.0,0.0,0.0,0.0,0.0,2.0,2.8333333333333335,1.5,0.0,2.0,55.0,0.0,True,3.0,6.0
7,3.4666666666666663,0.0,0.3333333333333333,15.5,0.3333333333333333,0.0,383.0,1.0,0.0,1.1500000000000001,11.266666666666666,90.0,0.0,0.0,0.0,0.0,1.5,2.1666666666666665,1.1666666666666667,0.0,6.0,55.0,0.0,False,18.0,10.0
8,4.05,0.0,0.8333333333333334,19.833333333333332,0.5,0.0,383.0,0.8333333333333334,0.0,1.6833333333333333,16.733333333333334,90.0,0.0,0.0,0.0,0.0,2.3333333333333335,2.0,1.3333333333333333,0.0,10.0,55.0,0.0,True,12.0,10.0
9,4.766666666666667,0.0,1.3333333333333333,23.166666666666668,0.6666666666666666,0.0,383.0,0.6666666666666666,0.0,1.9000000000000001,18.8,90.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.0,1.1666666666666667,0.0,10.0,55.0,0.0,False,5.0,6.0
10,5.1,0.0,1.3333333333333333,24.5,0.8333333333333334,0.0,383.0,0.16666666666666666,0.0,1.8999999999999997,18.933333333333334,90.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.5,1.0,0.0,6.0,55.0,0.0,True,1.0,3.0
11,5.716666666666668,0.0,1.0,22.166666666666668,0.6666666666666666,0.0,383.0,0.3333333333333333,0.0,2.05,20.53333333333333,90.0,0.0,0.0,0.0,0.0,2.8333333333333335,0.5,1.1666666666666667,0.0,3.0,55.0,0.0,False,6.0,5.0
12,6.1000000000000005,0.0,1.1666666666666667,25.333333333333332,0.6666666666666666,0.0,383.0,0.5,0.0,3.033333333333333,30.400000000000002,90.0,0.0,0.0,0.0,0.0,4.166666666666667,0.5,1.1666666666666667,0.0,5.0,56.0,0.0,False,11.0,2.0
13,6.050000000000001,0.0,1.1666666666666667,23.833333333333332,0.5,0.0,383.0,0.8333333333333334,0.0,3.033333333333333,30.433333333333334,90.0,0.0,0.0,0.0,0.0,4.333333333333333,0.6666666666666666,1.1666666666666667,0.0,2.0,56.0,0.0,True,9.0,3.0
14,5.883333333333333,0.0,0.6666666666666666,21.666666666666668,0.3333333333333333,0.0,383.0,1.0,0.0,3.1333333333333333,31.366666666666664,90.0,0.0,0.0,0.0,0.0,4.333333333333333,0.8333333333333334,1.0,0.0,3.0,56.0,0.0,False,20.0,7.0
15,5.55,0.0,0.16666666666666666,21.5,0.3333333333333333,0.0,383.0,1.0,0.0,3.4000000000000004,34.06666666666667,90.0,0.0,0.0,0.0,0.0,4.666666666666667,0.8333333333333334,1.5,0.0,7.0,56.0,0.0,True,10.0,3.0
16,5.416666666666667,0.0,0.16666666666666666,20.0,0.16666666666666666,0.0,383.0,1.1666666666666667,0.0,3.483333333333333,34.86666666666667,90.0,0.0,0.0,0.0,0.0,4.833333333333333,1.0,1.3333333333333333,0.0,3.0,56.0,0.0,True,8.0,3.0
17,4.883333333333334,0.0,0.16666666666666666,21.0,0.16666666666666666,0.0,383.0,1.1666666666666667,0.0,3.5,35.06666666666667,90.0,0.0,0.0,0.0,0.0,4.833333333333333,1.3333333333333333,1.3333333333333333,0.0,3.0,56.0,0.0,False,15.0,2.0
18,4.383333333333334,0.0,0.0,18.833333333333332,0.16666666666666666,0.0,383.0,1.3333333333333333,0.0,2.8666666666666667,28.833333333333332,90.0,0.0,0.0,0.0,0.0,4.0,1.6666666666666667,1.1666666666666667,0.0,2.0,56.0,0.0,True,11.0,2.0
19,4.166666666666667,0.0,0.0,18.5,0.16666666666666666,0.0,383.0,1.1666666666666667,0.0,2.8166666666666664,28.366666666666664,90.0,0.0,0.0,0.0,0.0,3.8333333333333335,1.3333333333333333,1.3333333333333333,0.0,2.0,56.0,0.0,False,3.0,2.0
20,3.6833333333333336,0.0,0.0,16.833333333333332,0.16666666666666666,0.0,383.0,1.1666666666666667,0.0,2.35,23.733333333333334,90.0,0.0,0.0,0.0,0.0,3.1666666666666665,1.3333333333333333,1.1666666666666667,0.0,2.0,56.0,0.0,True,5.0,6.0
21,3.6,0.0,0.0,15.333333333333334,0.16666666666666666,0.0,383.0,1.1666666666666667,0.0,1.9333333333333336,19.533333333333335,90.0,0.0,0.0,0.0,0.0,2.5,1.3333333333333333,1.0,0.0,6.0,56.0,0.0,True,18.0,2.0
22,3.4,0.0,0.0,15.333333333333334,0.16666666666666666,0.0,383.0,1.5,0.0,1.9333333333333336,19.566666666666666,90.0,0.0,0.0,0.0,0.0,2.5,1.1666666666666667,1.3333333333333333,0.0,2.0,56.0,0.0,False,12.0,1.0
23,3.0666666666666664,0.0,0.0,14.0,0.16666666666666666,0.0,383.0,1.6666666666666667,0.0,1.8500000000000003,18.6,90.0,0.0,0.0,0.0,0.0,2.1666666666666665,0.8333333333333334,1.5,0.0,1.0,56.0,0.0,False,19.0,7.0
24,4.183333333333333,0.0,0.0,15.833333333333334,0.3333333333333333,0.0,383.0,1.1666666666666667,0.0,1.75,17.566666666666666,90.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,2.0,0.0,7.0,56.0,0.0,True,4.0,9.0
25,5.2,0.0,0.3333333333333333,18.333333333333332,0.5,0.0,383.0,1.0,0.0,1.9833333333333334,19.8,90.0,0.0,0.0,0.0,0.0,2.1666666666666665,0.5,1.8333333333333333,0.0,9.0,56.0,0.0,False,8.0,2.0
26,5.583333333333333,0.0,0.3333333333333333,18.166666666666668,0.5,0.0,383.0,1.0,0.0,1.8166666666666667,18.166666666666668,90.0,0.0,0.0,0.0,0.0,2.0,0.5,2.5,0.0,2.0,56.0,0.0,True,6.0,1.0
27,5.583333333333333,0.0,0.3333333333333333,16.666666666666668,0.3333333333333333,0.0,383.0,1.3333333333333333,0.0,1.8166666666666667,18.2,90.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,2.5,0.0,1.0,56.0,0.0,False,1.0,6.0
28,6.0,0.0,0.3333333333333333,18.166666666666668,0.5,0.0,383.0,0.8333333333333334,0.0,1.5833333333333333,15.733333333333334,90.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,2.0,0.0,6.0,56.0,0.0,False,2.0,2.0
29,6.166666666666667,0.0,0.3333333333333333,19.166666666666668,0.5,0.0,383.0,0.8333333333333334,0.0,1.75,17.5,90.0,0.0,0.0,0.0,0.0,2.0,1.1666666666666667,2.0,0.0,2.0,56.0,0.0,False,14.0,2.0
30,5.05,0.0,0.3333333333333333,17.333333333333332,0.3333333333333333,0.0,383.0,1.3333333333333333,0.0,1.75,17.46666666666667,90.0,0.0,0.0,0.0,0.0,2.1666666666666665,1.6666666666666667,1.5,0.0,2.0,56.0,0.0,True,13.0,3.0
31,4.383333333333334,0.0,0.16666666666666666,16.0,0.16666666666666666,0.0,383.0,1.6666666666666667,0.0,1.9333333333333333,19.3,90.0,0.0,0.0,0.0,0.0,2.5,1.8333333333333333,1.8333333333333333,0.0,3.0,56.0,0.0,False,7.0,3.0
32,4.6000000000000005,0.0,0.16666666666666666,17.333333333333332,0.16666666666666666,0.0,383.0,1.6666666666666667,0.0,2.4,23.899999999999995,90.0,0.0,0.0,0.0,0.0,3.1666666666666665,1.8333333333333333,1.5,0.0,3.0,56.0,0.0,True,16.0,6.0
33,4.683333333333334,0.0,0.16666666666666666,19.0,0.3333333333333333,0.0,383.0,1.3333333333333333,0.0,2.4,23.966666666666665,90.0,0.0,0.0,0.0,0.0,3.1666666666666665,1.6666666666666667,1.8333333333333333,0.0,6.0,56.0,0.0,True,15.0,2.0
34,3.8833333333333333,0.0,0.16666666666666666,18.5,0.16666666666666666,0.0,383.0,1.8333333333333333,0.0,2.9166666666666665,29.266666666666666,90.0,0.0,0.0,0.0,0.0,3.8333333333333335,1.5,2.3333333333333335,0.0,2.0,56.0,0.0,False,10.0,8.0
35,4.183333333333334,0.0,0.3333333333333333,19.833333333333332,0.3333333333333333,0.0,383.0,1.5,0.0,2.8166666666666664,28.200000000000003,90.0,0.0,0.0,0.0,0.0,3.6666666666666665,1.1666666666666667,2.3333333333333335,0.0,8.0,56.0,0.0,True,20.0,2.0
36,4.416666666666667,0.0,0.3333333333333333,19.5,0.3333333333333333,0.0,383.0,1.3333333333333333,0.0,2.766666666666667,27.766666666666666,90.0,0.0,0.0,0.0,0.0,3.5,1.0,2.3333333333333335,0.0,2.0,56.0,0.0,True,2.0,2.0
6,0.0,0.0,0.0,0.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.5,0.0,0.0,45.0,0.0,True,6.0,0.0
7,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.5,0.0,0.0,45.0,0.0,False,9.0,0.0
8,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,45.0,0.0,True,16.0,0.0
9,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,44.0,0.0,False,1.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.6666666666666667,0.0,0.0,44.0,0.0,False,11.0,0.0
